Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol (mg), Sodium (mg), Total Carbohydrates (g) , Sugars (g), Protein (g) ,Caffeine (mg)
Starbucks,Beverages,TazoGreen Tea Latte,Venti Nonfat Milk,370,4.5,73,10,200,71,18,110
Starbucks,Beverages,TazoGreen Tea Latte,2% Milk,450,0.5,72,40,230,71,17,110
Starbucks,Beverages,TazoGreen Tea Latte,Soymilk,390,8,64,0,180,58,14,110
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),Short Nonfat Milk,80,6,16,0,45,16,4,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,90,0.5,15,10,50,15,3,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,80,10,14,0,40,13,3,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),Tall Nonfat Milk,120,8,23,5,65,23,5,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,140,0.1,23,15,75,23,5,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,130,2,21,0,60,19,4,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),Grande Nonfat Milk,150,1.5,31,5,85,31,7,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,190,0.1,31,15,95,30,7,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,170,3,27,0,80,25,6,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),Venti Nonfat Milk,190,2.5,39,5,110,39,9,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,230,0.2,38,20,125,38,9,0
Starbucks,Beverages,TazoFull-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,210,4,34,0,100,32,7,0
Starbucks,Beverages,Iced Brewed Coffee (With Classic Syrup),Tall,60,3.5,15,0,4,15,0.2,120
Starbucks,Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,90,0.2,21,0,5,21,0.3,165
Starbucks,Beverages,Iced Brewed Coffee (With Classic Syrup),Venti,130,5,31,0,5,31,0.4,235
Starbucks,Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall Nonfat Milk,80,4,18,0,25,18,2,90
