Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein
McDonald's,Coffee & Tea,Caramel Iced Coffee (Large),900ml,260,9,35,65,43,42,2
McDonald's,Coffee & Tea,Hazelnut Iced Coffee (Small),500ml,130,4.5,15,35,21,20,1
McDonald's,Coffee & Tea,Hazelnut Iced Coffee (Medium),700ml,180,7,25,50,29,28,1
McDonald's,Coffee & Tea,Hazelnut Iced Coffee (Large),900ml,250,9,35,75,43,41,2
McDonald's,Coffee & Tea,French Vanilla Iced Coffee (Small),500ml,120,4.5,15,40,20,19,1
McDonald's,Coffee & Tea,French Vanilla Iced Coffee (Medium),700ml,170,7,25,55,27,26,1
McDonald's,Coffee & Tea,French Vanilla Iced Coffee (Large),900ml,240,9,35,80,41,39,2
McDonald's,Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),500ml,80,4.5,15,65,9,1,1
McDonald's,Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),700ml,120,7,25,90,12,2,1
McDonald's,Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),900ml,160,9,35,135,18,2,2
McDonald's,Coffee & Tea,Iced Mocha (Small),400ml,290,11,35,125,41,34,8
McDonald's,Coffee & Tea,Iced Mocha (Medium),500ml,350,13,40,150,50,43,9
McDonald's,Coffee & Tea,Iced Mocha (Large),700ml,480,16,50,220,70,62,14
McDonald's,Coffee & Tea,Iced Mocha with Nonfat Milk (Small),400ml,240,5,20,125,41,35,8
McDonald's,Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),500ml,290,5,20,150,50,43,10
McDonald's,Coffee & Tea,Iced Mocha with Nonfat Milk (Large),700ml,390,6,25,220,71,62,14
McDonald's,Coffee & Tea,Iced Caramel Mocha (Small),400ml,280,11,35,140,38,33,8
McDonald's,Coffee & Tea,Iced Caramel Mocha (Medium),500ml,340,13,40,170,46,41,9
McDonald's,Coffee & Tea,Iced Caramel Mocha (Large),700ml,460,16,50,250,65,59,13
McDonald's,Coffee & Tea,Iced Nonfat Caramel Mocha (Small),400ml,230,5,20,140,38,33,8
McDonald's,Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),500ml,270,5,20,170,47,41,10
McDonald's,Coffee & Tea,Iced Nonfat Caramel Mocha (Large),700ml,370,6,25,250,65,59,14
McDonald's,Coffee & Tea,Frappé Mocha (Small),400ml,450,18,65,125,65,57,7
McDonald's,Coffee & Tea,Frappé Mocha (Medium),500ml,550,22,75,160,80,71,9
McDonald's,Coffee & Tea,Frappé Mocha (Large),700ml,670,26,90,190,98,88,11
